date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
2025-01-01,水曜日,Wednesday,False,True,元日,先勝,運命の扉が開く日,空色,アールグレイ,1,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,愚者 - 新しい始まり,一歩一歩が大切な旅路,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-01-02,木曜日,Thursday,False,False,,友引,宇宙からのメッセージ,若草色,カモミールティー,2,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,魔術師 - 創造力,今日という日は二度と来ない,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-01-03,金曜日,Friday,False,False,,先負,奇跡を呼ぶ波動,黄金色,ペパーミントティー,3,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,女教皇 - 直感,心の平安が真の豊かさ,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-01-04,土曜日,Saturday,True,False,,仏滅,龍神様のご加護,鋼青色,緑茶,4,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,女帝 - 豊穣,変化は成長の扉,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-01-05,日曜日,Sunday,True,False,,大安,金運上昇のサイン,深紅色,ほうじ茶,5,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,皇帝 - 安定,感謝の心が幸福を呼ぶ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-01-06,月曜日,Monday,False,False,,赤口,恋愛運絶好調,金色,ジャスミンティー,6,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,教皇 - 叡智,愛は最も強いエネルギー,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-01-07,火曜日,Tuesday,False,False,,先勝,直感力が冴える,朱色,ルイボスティー,7,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,恋人 - 選択,困難は成長のギフト,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-01-08,水曜日,Wednesday,False,False,,友引,隠れた才能開花,空色,ローズヒップティー,8,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,戦車 - 意志力,今この瞬間が全て,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-01-09,木曜日,Thursday,False,False,,先負,人生の転機到来,若草色,白茶,9,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,力 - 内なる強さ,笑顔は心の太陽,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-01-10,金曜日,Friday,False,False,,仏滅,幸運の風が吹く,黄金色,烏龍茶,10,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,隠者 - 内省,優しさは伝染する,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-01-11,土曜日,Saturday,True,False,,大安,魂の成長期間,鋼青色,玄米茶,11,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,運命の輪 - 転機,夢は現実の種,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-01-12,日曜日,Sunday,True,False,,赤口,エネルギー充電日,深紅色,抹茶,12,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,正義 - バランス,勇気は恐れを超越する,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-01-13,月曜日,Monday,False,True,成人の日,先勝,新次元への扉,金色,柚子茶,13,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,吊られた男 - 犠牲,知恵は経験から生まれる,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-01-14,火曜日,Tuesday,False,False,,友引,守護霊のささやき,朱色,生姜茶,14,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,死神 - 変容,調和は美の根源,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-01-15,水曜日,Wednesday,False,False,,先負,願いが叶う予感,空色,黒豆茶,15,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,節制 - 調和,希望は明日への光,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-01-16,木曜日,Thursday,False,False,,仏滅,心のデトックス,若草色,アールグレイ,16,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,悪魔 - 誘惑,慈悲は魂の栄養,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-01-17,金曜日,Friday,False,False,,大安,創造力爆発,黄金色,カモミールティー,17,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,獅子座,塔 - 変革,一歩一歩が大切な旅路,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-01-18,土曜日,Saturday,True,False,,赤口,人との縁を結ぶ,鋼青色,ペパーミントティー,18,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,乙女座,星 - 希望,今日という日は二度と来ない,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-01-19,日曜日,Sunday,True,False,,先勝,未来への種まき,深紅色,緑茶,19,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,天秤座,月 - 幻想,心の平安が真の豊かさ,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-01-20,月曜日,Monday,False,False,,友引,宝物発見の予感,金色,ほうじ茶,20,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,蠍座,太陽 - 成功,変化は成長の扉,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-01-21,火曜日,Tuesday,False,False,,先負,内なる光が輝く,朱色,ジャスミンティー,21,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,射手座,審判 - 再生,感謝の心が幸福を呼ぶ,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-01-22,水曜日,Wednesday,False,False,,仏滅,調和のメロディ,空色,ルイボスティー,22,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,世界 - 完成,愛は最も強いエネルギー,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-01-23,木曜日,Thursday,False,False,,大安,自然の叡智授受,若草色,ローズヒップティー,23,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,愚者 - 新しい始まり,困難は成長のギフト,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-01-24,金曜日,Friday,False,False,,赤口,知恵の泉湧出,黄金色,白茶,24,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,魔術師 - 創造力,今この瞬間が全て,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-01-25,土曜日,Saturday,True,False,,先勝,至福の時間軸,鋼青色,烏龍茶,25,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,女教皇 - 直感,笑顔は心の太陽,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-01-26,日曜日,Sunday,True,False,,友引,運気上昇の兆し,深紅色,玄米茶,26,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,牡牛座,女帝 - 豊穣,優しさは伝染する,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-01-27,月曜日,Monday,False,False,,先負,心の扉が開放,金色,抹茶,27,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,双子座,皇帝 - 安定,夢は現実の種,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-01-28,火曜日,Tuesday,False,False,,仏滅,宇宙との同調,朱色,柚子茶,28,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,蟹座,教皇 - 叡智,勇気は恐れを超越する,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-01-29,水曜日,Wednesday,False,False,,大安,愛のバイブレーション,空色,生姜茶,29,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,恋人 - 選択,知恵は経験から生まれる,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-01-30,木曜日,Thursday,False,False,,赤口,豊かさの波動,若草色,黒豆茶,30,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,戦車 - 意志力,調和は美の根源,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-01-31,金曜日,Friday,False,False,,先勝,運命の扉が開く日,黄金色,アールグレイ,31,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,力 - 内なる強さ,希望は明日への光,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-02-01,土曜日,Saturday,True,False,,友引,宇宙からのメッセージ,鋼青色,カモミールティー,32,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,隠者 - 内省,慈悲は魂の栄養,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-02-02,日曜日,Sunday,True,False,,先負,奇跡を呼ぶ波動,深紅色,ペパーミントティー,33,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,運命の輪 - 転機,一歩一歩が大切な旅路,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-02-03,月曜日,Monday,False,False,,仏滅,龍神様のご加護,金色,緑茶,34,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,正義 - バランス,今日という日は二度と来ない,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-02-04,火曜日,Tuesday,False,False,,大安,金運上昇のサイン,朱色,ほうじ茶,35,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,吊られた男 - 犠牲,心の平安が真の豊かさ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-02-05,水曜日,Wednesday,False,False,,赤口,恋愛運絶好調,空色,ジャスミンティー,36,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,死神 - 変容,変化は成長の扉,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-02-06,木曜日,Thursday,False,False,,先勝,直感力が冴える,若草色,ルイボスティー,37,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,節制 - 調和,感謝の心が幸福を呼ぶ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-02-07,金曜日,Friday,False,False,,友引,隠れた才能開花,黄金色,ローズヒップティー,38,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,悪魔 - 誘惑,愛は最も強いエネルギー,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-02-08,土曜日,Saturday,True,False,,先負,人生の転機到来,鋼青色,白茶,39,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,塔 - 変革,困難は成長のギフト,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-02-09,日曜日,Sunday,True,False,,仏滅,幸運の風が吹く,深紅色,烏龍茶,40,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,星 - 希望,今この瞬間が全て,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-02-10,月曜日,Monday,False,False,,大安,魂の成長期間,金色,玄米茶,41,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,月 - 幻想,笑顔は心の太陽,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-02-11,火曜日,Tuesday,False,True,建国記念の日,赤口,エネルギー充電日,朱色,抹茶,42,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,太陽 - 成功,優しさは伝染する,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-02-12,水曜日,Wednesday,False,False,,先勝,新次元への扉,空色,柚子茶,43,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,審判 - 再生,夢は現実の種,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-02-13,木曜日,Thursday,False,False,,友引,守護霊のささやき,若草色,生姜茶,44,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,世界 - 完成,勇気は恐れを超越する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-02-14,金曜日,Friday,False,False,,先負,願いが叶う予感,黄金色,黒豆茶,45,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,愚者 - 新しい始まり,知恵は経験から生まれる,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-02-15,土曜日,Saturday,True,False,,仏滅,心のデトックス,鋼青色,アールグレイ,46,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,魔術師 - 創造力,調和は美の根源,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-02-16,日曜日,Sunday,True,False,,大安,創造力爆発,深紅色,カモミールティー,47,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,女教皇 - 直感,希望は明日への光,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-02-17,月曜日,Monday,False,False,,赤口,人との縁を結ぶ,金色,ペパーミントティー,48,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,女帝 - 豊穣,慈悲は魂の栄養,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-02-18,火曜日,Tuesday,False,False,,先勝,未来への種まき,朱色,緑茶,49,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,皇帝 - 安定,一歩一歩が大切な旅路,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-02-19,水曜日,Wednesday,False,False,,友引,宝物発見の予感,空色,ほうじ茶,50,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,教皇 - 叡智,今日という日は二度と来ない,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-02-20,木曜日,Thursday,False,False,,先負,内なる光が輝く,若草色,ジャスミンティー,51,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,恋人 - 選択,心の平安が真の豊かさ,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-02-21,金曜日,Friday,False,False,,仏滅,調和のメロディ,黄金色,ルイボスティー,52,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,戦車 - 意志力,変化は成長の扉,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-02-22,土曜日,Saturday,True,False,,大安,自然の叡智授受,鋼青色,ローズヒップティー,53,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,力 - 内なる強さ,感謝の心が幸福を呼ぶ,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-02-23,日曜日,Sunday,True,True,天皇誕生日,赤口,知恵の泉湧出,深紅色,白茶,54,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,隠者 - 内省,愛は最も強いエネルギー,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-02-24,月曜日,Monday,False,False,,先勝,至福の時間軸,金色,烏龍茶,55,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,運命の輪 - 転機,困難は成長のギフト,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-02-25,火曜日,Tuesday,False,False,,友引,運気上昇の兆し,朱色,玄米茶,56,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,正義 - バランス,今この瞬間が全て,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2025-02-26,水曜日,Wednesday,False,False,,先負,心の扉が開放,空色,抹茶,57,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,吊られた男 - 犠牲,笑顔は心の太陽,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2025-02-27,木曜日,Thursday,False,False,,仏滅,宇宙との同調,若草色,柚子茶,58,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,山羊座,死神 - 変容,優しさは伝染する,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2025-02-28,金曜日,Friday,False,False,,大安,愛のバイブレーション,黄金色,生姜茶,59,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,水瓶座,節制 - 調和,夢は現実の種,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2025-03-01,土曜日,Saturday,True,False,,先負,豊かさの波動,鋼青色,黒豆茶,60,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,悪魔 - 誘惑,勇気は恐れを超越する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2025-03-02,日曜日,Sunday,True,False,,仏滅,運命の扉が開く日,深紅色,アールグレイ,61,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,塔 - 変革,知恵は経験から生まれる,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2025-03-03,月曜日,Monday,False,False,,大安,宇宙からのメッセージ,金色,カモミールティー,62,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,星 - 希望,調和は美の根源,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2025-03-04,火曜日,Tuesday,False,False,,赤口,奇跡を呼ぶ波動,朱色,ペパーミントティー,63,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,月 - 幻想,希望は明日への光,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2025-03-05,水曜日,Wednesday,False,False,,先勝,龍神様のご加護,空色,緑茶,64,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,太陽 - 成功,慈悲は魂の栄養,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2025-03-06,木曜日,Thursday,False,False,,友引,金運上昇のサイン,若草色,ほうじ茶,65,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,審判 - 再生,一歩一歩が大切な旅路,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2025-03-07,金曜日,Friday,False,False,,先負,恋愛運絶好調,黄金色,ジャスミンティー,66,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,世界 - 完成,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2025-03-08,土曜日,Saturday,True,False,,仏滅,直感力が冴える,鋼青色,ルイボスティー,67,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,愚者 - 新しい始まり,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2025-03-09,日曜日,Sunday,True,False,,大安,隠れた才能開花,深紅色,ローズヒップティー,68,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,魔術師 - 創造力,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2025-03-10,月曜日,Monday,False,False,,赤口,人生の転機到来,金色,白茶,69,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,女教皇 - 直感,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2025-03-11,火曜日,Tuesday,False,False,,先勝,幸運の風が吹く,朱色,烏龍茶,70,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,女帝 - 豊穣,愛は最も強いエネルギー,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2025-03-12,水曜日,Wednesday,False,False,,友引,魂の成長期間,空色,玄米茶,71,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,皇帝 - 安定,困難は成長のギフト,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
