年,月,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
2033,10,30,2033-10-30,日曜日,Sunday,Sun,True,False,,先負,False,庚戌,庚,戌,金,土,陽,犬,帝旺,False,,,,調査中,奇跡を呼ぶ波動,深紅色,ペパーミントティー,6,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,塔 - 変革,希望は明日への光,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2033,10,31,2033-10-31,月曜日,Monday,Mon,False,False,,仏滅,False,辛亥,辛,亥,金,水,陰,猪,衰,False,,,,調査中,龍神様のご加護,金色,緑茶,7,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,星 - 希望,慈悲は魂の栄養,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2033,11,1,2033-11-01,火曜日,Tuesday,Tue,False,False,,大安,False,壬子,壬,子,水,水,陽,鼠,死,False,,,,調査中,金運上昇のサイン,朱色,ほうじ茶,8,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,月 - 幻想,一歩一歩が大切な旅路,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2033,11,2,2033-11-02,水曜日,Wednesday,Wed,False,False,,赤口,True,癸丑,癸,丑,水,土,陰,牛,墓,False,,,,調査中,恋愛運絶好調,空色,ジャスミンティー,9,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,太陽 - 成功,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2033,11,3,2033-11-03,木曜日,Thursday,Thu,False,True,文化の日,先勝,False,甲寅,甲,寅,木,木,陽,虎,養,False,,,,調査中,直感力が冴える,若草色,ルイボスティー,10,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,審判 - 再生,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2033,11,4,2033-11-04,金曜日,Friday,Fri,False,False,,友引,False,乙卯,乙,卯,木,木,陰,兎,長生,False,,,,調査中,隠れた才能開花,黄金色,ローズヒップティー,11,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,世界 - 完成,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2033,11,5,2033-11-05,土曜日,Saturday,Sat,True,False,,先負,True,丙辰,丙,辰,火,土,陽,龍,沐浴,True,辰巳,財運・社会,,調査中,人生の転機到来,鋼青色,白茶,12,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,愚者 - 新しい始まり,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2033,11,6,2033-11-06,日曜日,Sunday,Sun,True,False,,仏滅,False,丁巳,丁,巳,火,火,陰,蛇,冠帯,True,辰巳,財運・社会,,調査中,幸運の風が吹く,深紅色,烏龍茶,13,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,魔術師 - 創造力,愛は最も強いエネルギー,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2033,11,7,2033-11-07,月曜日,Monday,Mon,False,False,,大安,False,戊午,戊,午,土,火,陽,馬,建禄,False,,,,調査中,魂の成長期間,金色,玄米茶,14,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,女教皇 - 直感,困難は成長のギフト,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2033,11,8,2033-11-08,火曜日,Tuesday,Tue,False,False,,赤口,False,己未,己,未,土,土,陰,羊,帝旺,False,,,,調査中,エネルギー充電日,朱色,抹茶,15,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,女帝 - 豊穣,今この瞬間が全て,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2033,11,9,2033-11-09,水曜日,Wednesday,Wed,False,False,,先勝,False,庚申,庚,申,金,金,陽,猿,衰,False,,,,調査中,新次元への扉,空色,柚子茶,16,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,皇帝 - 安定,笑顔は心の太陽,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2033,11,10,2033-11-10,木曜日,Thursday,Thu,False,False,,友引,True,辛酉,辛,酉,金,金,陰,鶏,病,False,,,,調査中,守護霊のささやき,若草色,生姜茶,17,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,教皇 - 叡智,優しさは伝染する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2033,11,11,2033-11-11,金曜日,Friday,Fri,False,False,,先負,False,壬戌,壬,戌,水,土,陽,犬,死,False,,,,調査中,願いが叶う予感,黄金色,黒豆茶,18,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,恋人 - 選択,夢は現実の種,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2033,11,12,2033-11-12,土曜日,Saturday,Sat,True,False,,仏滅,False,癸亥,癸,亥,水,水,陰,猪,墓,False,,,,調査中,心のデトックス,鋼青色,アールグレイ,19,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,戦車 - 意志力,勇気は恐れを超越する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2033,11,13,2033-11-13,日曜日,Sunday,Sun,True,False,,大安,True,甲子,甲,子,木,水,陽,鼠,養,False,,,,調査中,創造力爆発,深紅色,カモミールティー,20,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,獅子座,力 - 内なる強さ,知恵は経験から生まれる,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2033,11,14,2033-11-14,月曜日,Monday,Mon,False,False,,赤口,False,乙丑,乙,丑,木,土,陰,牛,長生,False,,,,調査中,人との縁を結ぶ,金色,ペパーミントティー,21,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,乙女座,隠者 - 内省,調和は美の根源,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2033,11,15,2033-11-15,火曜日,Tuesday,Tue,False,False,,先勝,False,丙寅,丙,寅,火,木,陽,虎,沐浴,True,寅卯,親・目上,,調査中,未来への種まき,朱色,緑茶,22,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,天秤座,運命の輪 - 転機,希望は明日への光,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2033,11,16,2033-11-16,水曜日,Wednesday,Wed,False,False,,友引,False,丁卯,丁,卯,火,木,陰,兎,冠帯,True,寅卯,親・目上,,調査中,宝物発見の予感,空色,ほうじ茶,23,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,蠍座,正義 - バランス,慈悲は魂の栄養,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2033,11,17,2033-11-17,木曜日,Thursday,Thu,False,False,,先負,False,戊辰,戊,辰,土,土,陽,龍,建禄,False,,,,調査中,内なる光が輝く,若草色,ジャスミンティー,24,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,射手座,吊られた男 - 犠牲,一歩一歩が大切な旅路,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2033,11,18,2033-11-18,金曜日,Friday,Fri,False,False,,仏滅,True,己巳,己,巳,土,火,陰,蛇,帝旺,False,,,,調査中,調和のメロディ,黄金色,ルイボスティー,25,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,死神 - 変容,今日という日は二度と来ない,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2033,11,19,2033-11-19,土曜日,Saturday,Sat,True,False,,大安,False,庚午,庚,午,金,火,陽,馬,衰,False,,,,調査中,自然の叡智授受,鋼青色,ローズヒップティー,26,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,節制 - 調和,心の平安が真の豊かさ,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2033,11,20,2033-11-20,日曜日,Sunday,Sun,True,False,,赤口,False,辛未,辛,未,金,土,陰,羊,病,False,,,,調査中,知恵の泉湧出,深紅色,白茶,27,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,悪魔 - 誘惑,変化は成長の扉,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2033,11,21,2033-11-21,月曜日,Monday,Mon,False,False,,先勝,False,壬申,壬,申,水,金,陽,猿,死,False,,,,調査中,至福の時間軸,金色,烏龍茶,28,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,塔 - 変革,感謝の心が幸福を呼ぶ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2033,11,22,2033-11-22,火曜日,Tuesday,Tue,False,False,,友引,False,癸酉,癸,酉,水,金,陰,鶏,墓,False,,,,調査中,運気上昇の兆し,朱色,玄米茶,29,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,牡牛座,星 - 希望,愛は最も強いエネルギー,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2033,11,23,2033-11-23,水曜日,Wednesday,Wed,False,True,勤労感謝の日,先負,False,甲戌,甲,戌,木,土,陽,犬,養,True,戌亥,家庭・不動産,,調査中,心の扉が開放,空色,抹茶,30,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,双子座,月 - 幻想,困難は成長のギフト,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2033,11,24,2033-11-24,木曜日,Thursday,Thu,False,False,,仏滅,False,乙亥,乙,亥,木,水,陰,猪,長生,True,戌亥,家庭・不動産,,調査中,宇宙との同調,若草色,柚子茶,31,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,蟹座,太陽 - 成功,今この瞬間が全て,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2033,11,25,2033-11-25,金曜日,Friday,Fri,False,False,,大安,True,丙子,丙,子,火,水,陽,鼠,沐浴,False,,,,調査中,愛のバイブレーション,黄金色,生姜茶,32,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,審判 - 再生,笑顔は心の太陽,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2033,11,26,2033-11-26,土曜日,Saturday,Sat,True,False,,赤口,False,丁丑,丁,丑,火,土,陰,牛,冠帯,False,,,,調査中,豊かさの波動,鋼青色,黒豆茶,33,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,世界 - 完成,優しさは伝染する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2033,11,27,2033-11-27,日曜日,Sunday,Sun,True,False,,先勝,False,戊寅,戊,寅,土,木,陽,虎,建禄,False,,,,調査中,運命の扉が開く日,深紅色,アールグレイ,34,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,愚者 - 新しい始まり,夢は現実の種,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2033,11,28,2033-11-28,月曜日,Monday,Mon,False,False,,友引,False,己卯,己,卯,土,木,陰,兎,帝旺,False,,,,調査中,宇宙からのメッセージ,金色,カモミールティー,35,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,魔術師 - 創造力,勇気は恐れを超越する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2033,11,29,2033-11-29,火曜日,Tuesday,Tue,False,False,,先負,False,庚辰,庚,辰,金,土,陽,龍,衰,False,,,,調査中,奇跡を呼ぶ波動,朱色,ペパーミントティー,36,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,女教皇 - 直感,知恵は経験から生まれる,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2033,11,30,2033-11-30,水曜日,Wednesday,Wed,False,False,,仏滅,True,辛巳,辛,巳,金,火,陰,蛇,病,False,,,,調査中,龍神様のご加護,空色,緑茶,37,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,女帝 - 豊穣,調和は美の根源,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2033,12,1,2033-12-01,木曜日,Thursday,Thu,False,False,,赤口,False,壬午,壬,午,水,火,陽,馬,墓,False,,,,調査中,金運上昇のサイン,若草色,ほうじ茶,38,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,皇帝 - 安定,希望は明日への光,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2033,12,2,2033-12-02,金曜日,Friday,Fri,False,False,,先勝,True,癸未,癸,未,水,土,陰,羊,絶,False,,,,調査中,恋愛運絶好調,黄金色,ジャスミンティー,39,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,教皇 - 叡智,慈悲は魂の栄養,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2033,12,3,2033-12-03,土曜日,Saturday,Sat,True,False,,友引,False,甲申,甲,申,木,金,陽,猿,長生,True,申酉,友人・兄弟,,調査中,直感力が冴える,鋼青色,ルイボスティー,40,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,恋人 - 選択,一歩一歩が大切な旅路,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2033,12,4,2033-12-04,日曜日,Sunday,Sun,True,False,,先負,False,乙酉,乙,酉,木,金,陰,鶏,沐浴,True,申酉,友人・兄弟,,調査中,隠れた才能開花,深紅色,ローズヒップティー,41,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,戦車 - 意志力,今日という日は二度と来ない,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2033,12,5,2033-12-05,月曜日,Monday,Mon,False,False,,仏滅,False,丙戌,丙,戌,火,土,陽,犬,冠帯,False,,,,調査中,人生の転機到来,金色,白茶,42,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,力 - 内なる強さ,心の平安が真の豊かさ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2033,12,6,2033-12-06,火曜日,Tuesday,Tue,False,False,,大安,False,丁亥,丁,亥,火,水,陰,猪,建禄,False,,,,調査中,幸運の風が吹く,朱色,烏龍茶,43,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,隠者 - 内省,変化は成長の扉,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2033,12,7,2033-12-07,水曜日,Wednesday,Wed,False,False,,赤口,True,戊子,戊,子,土,水,陽,鼠,帝旺,False,,,,調査中,魂の成長期間,空色,玄米茶,44,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,運命の輪 - 転機,感謝の心が幸福を呼ぶ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2033,12,8,2033-12-08,木曜日,Thursday,Thu,False,False,,先勝,False,己丑,己,丑,土,土,陰,牛,衰,False,,,,調査中,エネルギー充電日,若草色,抹茶,45,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,正義 - バランス,愛は最も強いエネルギー,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2033,12,9,2033-12-09,金曜日,Friday,Fri,False,False,,友引,False,庚寅,庚,寅,金,木,陽,虎,病,False,,,,調査中,新次元への扉,黄金色,柚子茶,46,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,吊られた男 - 犠牲,困難は成長のギフト,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2033,12,10,2033-12-10,土曜日,Saturday,Sat,True,False,,先負,False,辛卯,辛,卯,金,木,陰,兎,死,False,,,,調査中,守護霊のささやき,鋼青色,生姜茶,47,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,死神 - 変容,今この瞬間が全て,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2033,12,11,2033-12-11,日曜日,Sunday,Sun,True,False,,仏滅,False,壬辰,壬,辰,水,土,陽,龍,墓,False,,,,調査中,願いが叶う予感,深紅色,黒豆茶,48,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,節制 - 調和,笑顔は心の太陽,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2033,12,12,2033-12-12,月曜日,Monday,Mon,False,False,,大安,True,癸巳,癸,巳,水,火,陰,蛇,絶,False,,,,調査中,心のデトックス,金色,アールグレイ,49,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,悪魔 - 誘惑,優しさは伝染する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2033,12,13,2033-12-13,火曜日,Tuesday,Tue,False,False,,赤口,False,甲午,甲,午,木,火,陽,馬,長生,True,午未,配偶者・恋愛,,調査中,創造力爆発,朱色,カモミールティー,50,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,塔 - 変革,夢は現実の種,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2033,12,14,2033-12-14,水曜日,Wednesday,Wed,False,False,,先勝,False,乙未,乙,未,木,土,陰,羊,沐浴,True,午未,配偶者・恋愛,,調査中,人との縁を結ぶ,空色,ペパーミントティー,51,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,星 - 希望,勇気は恐れを超越する,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2033,12,15,2033-12-15,木曜日,Thursday,Thu,False,False,,友引,True,丙申,丙,申,火,金,陽,猿,冠帯,False,,,,調査中,未来への種まき,若草色,緑茶,52,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,月 - 幻想,知恵は経験から生まれる,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2033,12,16,2033-12-16,金曜日,Friday,Fri,False,False,,先負,False,丁酉,丁,酉,火,金,陰,鶏,建禄,False,,,,調査中,宝物発見の予感,黄金色,ほうじ茶,53,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,太陽 - 成功,調和は美の根源,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2033,12,17,2033-12-17,土曜日,Saturday,Sat,True,False,,仏滅,False,戊戌,戊,戌,土,土,陽,犬,帝旺,False,,,,調査中,内なる光が輝く,鋼青色,ジャスミンティー,54,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,審判 - 再生,希望は明日への光,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2033,12,18,2033-12-18,日曜日,Sunday,Sun,True,False,,大安,False,己亥,己,亥,土,水,陰,猪,衰,False,,,,調査中,調和のメロディ,深紅色,ルイボスティー,55,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,世界 - 完成,慈悲は魂の栄養,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2033,12,19,2033-12-19,月曜日,Monday,Mon,False,False,,赤口,True,庚子,庚,子,金,水,陽,鼠,病,False,,,,調査中,自然の叡智授受,金色,ローズヒップティー,56,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,愚者 - 新しい始まり,一歩一歩が大切な旅路,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2033,12,20,2033-12-20,火曜日,Tuesday,Tue,False,False,,先勝,False,辛丑,辛,丑,金,土,陰,牛,死,False,,,,調査中,知恵の泉湧出,朱色,白茶,57,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,魔術師 - 創造力,今日という日は二度と来ない,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2033,12,21,2033-12-21,水曜日,Wednesday,Wed,False,False,,友引,False,壬寅,壬,寅,水,木,陽,虎,墓,False,,,,調査中,至福の時間軸,空色,烏龍茶,58,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,女教皇 - 直感,心の平安が真の豊かさ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
2033,12,22,2033-12-22,木曜日,Thursday,Thu,False,False,,先負,False,癸卯,癸,卯,水,木,陰,兎,絶,False,,,,調査中,運気上昇の兆し,若草色,玄米茶,59,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,女帝 - 豊穣,変化は成長の扉,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
2033,12,23,2033-12-23,金曜日,Friday,Fri,False,False,,仏滅,False,甲辰,甲,辰,木,土,陽,龍,長生,False,,,,調査中,心の扉が開放,黄金色,抹茶,60,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,皇帝 - 安定,感謝の心が幸福を呼ぶ,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
2033,12,24,2033-12-24,土曜日,Saturday,Sat,True,False,,大安,False,乙巳,乙,巳,木,火,陰,蛇,沐浴,False,,,,調査中,宇宙との同調,鋼青色,柚子茶,61,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,山羊座,教皇 - 叡智,愛は最も強いエネルギー,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
2033,12,25,2033-12-25,日曜日,Sunday,Sun,True,False,,赤口,False,丙午,丙,午,火,火,陽,馬,冠帯,False,,,,調査中,愛のバイブレーション,深紅色,生姜茶,62,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,水瓶座,恋人 - 選択,困難は成長のギフト,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
2033,12,26,2033-12-26,月曜日,Monday,Mon,False,False,,先勝,False,丁未,丁,未,火,土,陰,羊,建禄,False,,,,調査中,豊かさの波動,金色,黒豆茶,63,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,戦車 - 意志力,今この瞬間が全て,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2033,12,27,2033-12-27,火曜日,Tuesday,Tue,False,False,,友引,True,戊申,戊,申,土,金,陽,猿,帝旺,False,,,,調査中,運命の扉が開く日,朱色,アールグレイ,64,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,力 - 内なる強さ,笑顔は心の太陽,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2033,12,28,2033-12-28,水曜日,Wednesday,Wed,False,False,,先負,False,己酉,己,酉,土,金,陰,鶏,衰,False,,,,調査中,宇宙からのメッセージ,空色,カモミールティー,65,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,隠者 - 内省,優しさは伝染する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2033,12,29,2033-12-29,木曜日,Thursday,Thu,False,False,,仏滅,False,庚戌,庚,戌,金,土,陽,犬,病,False,,,,調査中,奇跡を呼ぶ波動,若草色,ペパーミントティー,66,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,運命の輪 - 転機,夢は現実の種,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2033,12,30,2033-12-30,金曜日,Friday,Fri,False,False,,大安,True,辛亥,辛,亥,金,水,陰,猪,死,False,,,,調査中,龍神様のご加護,黄金色,緑茶,67,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,正義 - バランス,勇気は恐れを超越する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2033,12,31,2033-12-31,土曜日,Saturday,Sat,True,False,,赤口,False,壬子,壬,子,水,水,陽,鼠,墓,False,,,,調査中,金運上昇のサイン,鋼青色,ほうじ茶,68,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,吊られた男 - 犠牲,知恵は経験から生まれる,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
